"estado";"lei";"desc";"link"
"Acre";"Lei Ordinária Nº 3621 de 5 de maio de 2020";"Proíbe a majoração, sem justa causa, do preço de produtos e serviços em geral durante o plano de contingência da Secretaria de Estado de Saúde relacionado ao Covid - 19.";"http://leisestaduais.com.br/ac/lei-ordinaria-n-3621-2020-acre-proibe-a-majoracao-sem-justa-causa-do-preco-de-produtos-e-servicos-em-geral-durante-o-plano-de-contingencia-da-secretaria-de-estado-de-saude-relacionado-ao-covid-19"
"Rio de Janeiro";"Decreto Nº 47061 de 5 de maio de 2020";"DISPÕE SOBRE A CRIAÇÃO DE COMISSÃO ESPECIAL DENOMINADA COMISSÃO CIÊNCIA RJ NO COMBATE À COVID-19 (COMCIÊNCIARJCOVID).";"http://leisestaduais.com.br/rj/decreto-n-47061-2020-rio-de-janeiro-dispoe-sobre-a-criacao-de-comissao-especial-denominada-comissao-ciencia-rj-no-combate-a-covid-19-comcienciarjcovid"
"Pernambuco";"Decreto Nº 48993 de 5 de maio de 2020";"Altera o Decreto nº 48.970, de 23 de abril de 2020, que institui o Comitê Técnico de Pesquisa, Desenvolvimento e Inovação para o enfrentamento da emergência de saúde pública decorrente do novo coronavírus.";"http://leisestaduais.com.br/pe/decreto-n-48993-2020-pernambuco-altera-o-decreto-no-48-970-de-23-de-abril-de-2020-que-institui-o-comite-tecnico-de-pesquisa-desenvolvimento-e-inovacao-para-o-enfrentamento-da-emergencia-de-saude-publica-decorrente-do-novo-coronavirus"
"Rio Grande do Norte";"Decreto Nº 29679 de 5 de maio de 2020";"Dispõe sobre as operações com álcool etílico hidratado combustível (AEHC) nas condições que especifica, em virtude de autorização legal ou judicial.";"http://leisestaduais.com.br/rn/decreto-n-29679-2020-rio-grande-do-norte-dispoe-sobre-as-operacoes-com-alcool-etilico-hidratado-combustivel-aehc-nas-condicoes-que-especifica-em-virtude-de-autorizacao-legal-ou-judicial"
"Rio de Janeiro";"Decreto Nº 47059 de 5 de maio de 2020";"DISPÕE SOBRE A SUSPENSÃO TEMPORÁRIA DA EXIGIBILIDADE DO PAGAMENTO DA TAXA DE VISTORIA E FISCALIZAÇÃO, DAS MULTAS DE AUTOS DE INFRAÇÃO E DE PARCELAMENTOS, EM RAZÃO DA PANDEMIA DECORRENTE DO COVID-19 (CORONAVÍRUS), PARA AS EMPRESAS REGISTRADAS NO DETRO/RJ, CUJOS VEÍCULOS SE ENCONTRAM IMPEDIDOS DE CIRCULAÇÃO, E DÁ OUTRAS PROVIDÊNCIAS.";"http://leisestaduais.com.br/rj/decreto-n-47059-2020-rio-de-janeiro-dispoe-sobre-a-suspensao-temporaria-da-exigibilidade-do-pagamento-da-taxa-de-vistoria-e-fiscalizacao-das-multas-de-autos-de-infracao-e-de-parcelamentos-em-razao-da-pandemia-decorrente-do-covid-19-coronavirus-para-as-empresas-registradas-no-detro-rj-cujos-veiculos-se-encontram-impedidos-de-circulacao-e-da-outras-providencias"
"Rio de Janeiro";"Decreto Nº 47060 de 5 de maio de 2020";"DISPÕE SOBRE A OBRIGATORIEDADE DO USO DE MÁSCARAS DE PROTEÇÃO FACIAL, NO ÂMBITO DO SERVIÇO DE TRANSPORTE PÚBLICO DE PASSAGEIROS DE RESPONSABILIDADE DO ESTADO DO RIO DE JANEIRO, E DÁ OUTRAS PROVIDÊNCIAS.";"http://leisestaduais.com.br/rj/decreto-n-47060-2020-rio-de-janeiro-dispoe-sobre-a-obrigatoriedade-do-uso-de-mascaras-de-protecao-facial-no-ambito-do-servico-de-transporte-publico-de-passageiros-de-responsabilidade-do-estado-do-rio-de-janeiro-e-da-outras-providencias"
"Tocantins";"Decreto Nº 6092 de 5 de maio de 2020";"Dispõe sobre recomendações gerais aos Chefes de Poder Executivo Municipal para o enfrentamento da pandemia de COVID-19 (novo Coronavírus), bem assim sobre o uso obrigatório de máscaras de proteção facial, na forma que especifica, e adota outras providências.";"http://leisestaduais.com.br/to/decreto-n-6092-2020-tocantins-dispoe-sobre-recomendacoes-gerais-aos-chefes-de-poder-executivo-municipal-para-o-enfrentamento-da-pandemia-de-covid-19-novo-coronavirus-bem-assim-sobre-o-uso-obrigatorio-de-mascaras-de-protecao-facial-na-forma-que-especifica-e-adota-outras-providencias"
"Acre";"Lei Ordinária Nº 3622 de 5 de maio de 2020";"Obriga os indivíduos que apresentem possibilidade de contaminação a realizarem o teste para o Covid-19.";"http://leisestaduais.com.br/ac/lei-ordinaria-n-3622-2020-acre-obriga-os-individuos-que-apresentem-possibilidade-de-contaminacao-a-realizarem-o-teste-para-o-covid-19"
"Acre";"Lei Ordinária Nº 3623 de 5 de maio de 2020";"Suspende os prazos de validade dos concursos públicos já homologados, durante o período da pandemia do Covid-19.";"http://leisestaduais.com.br/ac/lei-ordinaria-n-3623-2020-acre-suspende-os-prazos-de-validade-dos-concursos-publicos-ja-homologados-durante-o-periodo-da-pandemia-do-covid-19"
"São Paulo";"Decreto Nº 64963 de 5 de maio de 2020";"Institui o Sistema de Informações e Monitoramento Inteligente - SIMI, destinado ao enfrentamento da pandemia da COVID-19, e dá providências correlatas.";"http://leisestaduais.com.br/sp/decreto-n-64963-2020-sao-paulo-institui-o-sistema-de-informacoes-e-monitoramento-inteligente-simi-destinado-ao-enfrentamento-da-pandemia-da-covid-19-e-da-providencias-correlatas"
"Mato Grosso do Sul";"Lei Ordinária Nº 5501 de 4 de maio de 2020";"Dispõe em caráter excepcional sobre a suspensão do cumprimento de obrigações financeiras referentes a empréstimos consignados contraídos por servidores públicos estaduais, no âmbito do Estado de Mato Grosso do Sul, pelo prazo de 90 dias, e dá outras providências.";"http://leisestaduais.com.br/ms/lei-ordinaria-n-5501-2020-mato-grosso-do-sul-dispoe-em-carater-excepcional-sobre-a-suspensao-do-cumprimento-de-obrigacoes-financeiras-referentes-a-emprestimos-consignados-contraidos-por-servidores-publicos-estaduais-no-ambito-do-estado-de-mato-grosso-do-sul-pelo-prazo-de-90-dias-e-da-outras-providencias"
"Pará";"Decreto Nº 722 de 4 de maio de 2020";"Altera o Decreto Estadual nº 698, de 21 de abril de 2020.";"http://leisestaduais.com.br/pa/decreto-n-722-2020-para-altera-o-decreto-estadual-no-698-de-21-de-abril-de-2020"
"Maranhão";"Decreto Nº 35785 de 4 de maio de 2020";"Altera o Decreto nº 35.784, de 03 de maio de 2020, que estabelece as medidas preventivas e restritivas a ser aplicadas na Ilha do Maranhão (São Luís, São José de Ribamar, Paço do Lumiar e Raposa), em virtude da COVID-19 e à vista de decisão judicial proferida pela Vara de Interesses Difusos e Coletivos da Comarca da Ilha de São Luís, nos autos da Ação Civil Pública nº 0813507-41.2020.8.10.0001; dispõe sobre a suspensão das aulas presenciais nas instituições de ensino que especifica; altera o Decreto nº 35.677, de 21 de março de 2020, e dá outras providências.";"http://leisestaduais.com.br/ma/decreto-n-35785-2020-maranhao-altera-o-decreto-no-35-784-de-03-de-maio-de-2020-que-estabelece-as-medidas-preventivas-e-restritivas-a-ser-aplicadas-na-ilha-do-maranhao-sao-luis-sao-jose-de-ribamar-paco-do-lumiar-e-raposa-em-virtude-da-covid-19-e-a-vista-de-decisao-judicial-proferida-pela-vara-de-interesses-difusos-e-coletivos-da-comarca-da-ilha-de-sao-luis-nos-autos-da-acao-civil-publica-no-0813507-41-2020-8-10-0001-dispoe-sobre-a-suspensao-das-aulas-presenciais-nas-instituicoes-de-ensino-que-especifica-altera-o-decreto-no-35-677-de-21-de-marco-de-2020-e-da-outras-providencias"
"Paraná";"Decreto Nº 4570 de 4 de maio de 2020";"Regulamenta a Lei nº 20.172, de 7 de abril de 2020, que autorizou a concessão de auxílio emergencial, com recursos do FECOP, à pessoa economicamente vulnerabilizada em decorrência da emergência de saúde pública de importância internacional causada pela infecção humana pelo coronavírus (Covid-19).";"http://leisestaduais.com.br/pr/decreto-n-4570-2020-parana-regulamenta-a-lei-no-20-172-de-7-de-abril-de-2020-que-autorizou-a-concessao-de-auxilio-emergencial-com-recursos-do-fecop-a-pessoa-economicamente-vulnerabilizada-em-decorrencia-da-emergencia-de-saude-publica-de-importancia-internacional-causada-pela-infeccao-humana-pelo-coronavirus-covid-19"
"Rio de Janeiro";"Lei Ordinária Nº 8802 de 4 de maio de 2020";"AUTORIZA O PODER EXECUTIVO A REDUZIR A CARGA HORÁRIA OU A ADOTAR REGIME DE TRABALHO REMOTO PARA SERVIDORES PÚBLICOS ESTADUAIS E TRABALHADORES TERCEIRIZADOS, NA FORMA QUE MENCIONA.";"http://leisestaduais.com.br/rj/lei-ordinaria-n-8802-2020-rio-de-janeiro-autoriza-o-poder-executivo-a-reduzir-a-carga-horaria-ou-a-adotar-regime-de-trabalho-remoto-para-servidores-publicos-estaduais-e-trabalhadores-terceirizados-na-forma-que-menciona"
"Rio Grande do Norte";"Decreto Nº 29668 de 4 de maio de 2020";"Prorroga as medidas de saúde para o enfrentamento do novo coronavírus (COVID-19) no âmbito do Estado do Rio Grande do Norte e dá outras providências.";"http://leisestaduais.com.br/rn/decreto-n-29668-2020-rio-grande-do-norte-prorroga-as-medidas-de-saude-para-o-enfrentamento-do-novo-coronavirus-covid-19-no-ambito-do-estado-do-rio-grande-do-norte-e-da-outras-providencias"
"Maranhão";"Decreto Nº 35786 de 4 de maio de 2020";"Dispõe sobre a requisição administrativa de serviços de 40 (quarenta) profissionais da medicina como medida de combate à propagação da COVID-19, infecção humana causada pelo Coronavírus (SARSCoV-2), no Estado do Maranhão.";"http://leisestaduais.com.br/ma/decreto-n-35786-2020-maranhao-dispoe-sobre-a-requisicao-administrativa-de-servicos-de-40-quarenta-profissionais-da-medicina-como-medida-de-combate-a-propagacao-da-covid-19-infeccao-humana-causada-pelo-coronavirus-sarscov-2-no-estado-do-maranhao"
"São Paulo";"Decreto Nº 64959 de 4 de maio de 2020";"Dispõe sobre o uso geral e obrigatório de máscaras de proteção facial no contexto da pandemia da COVID-19 e dá medidas correlatas.";"http://leisestaduais.com.br/sp/decreto-n-64959-2020-sao-paulo-dispoe-sobre-o-uso-geral-e-obrigatorio-de-mascaras-de-protecao-facial-no-contexto-da-pandemia-da-covid-19-e-da-medidas-correlatas"
"Acre";"Decreto Nº 5880 de 4 de maio de 2020";"Altera dispositivos e prorroga prazos do Decreto nº 5.496, de 20 de março de 2020, que estabelece novas medidas para enfrentamento da emergência de saúde pública decorrente da doença COVID-19, causada pelo coronavírus SARS-CoV-2.";"http://leisestaduais.com.br/ac/decreto-n-5880-2020-acre-altera-dispositivos-e-prorroga-prazos-do-decreto-no-5-496-de-20-de-marco-de-2020-que-estabelece-novas-medidas-para-enfrentamento-da-emergencia-de-saude-publica-decorrente-da-doenca-covid-19-causada-pelo-coronavirus-sars-cov-2"
"Pernambuco";"Lei Complementar Nº 429 de 1 de maio de 2020";"Altera a Lei Complementar nº 425, de 25 de março de 2020, que dispõe sobre os procedimentos para contratações destinadas ao fornecimento de bens, à prestação de serviços, à locação de bens e à execução de obras necessárias ao enfrentamento da emergência em saúde pública de importância internacional, decorrente do coronavírus, no âmbito do Poder Executivo Estadual.";"http://leisestaduais.com.br/pe/lei-complementar-n-429-2020-pernambuco-altera-a-lei-complementar-no-425-de-25-de-marco-de-2020-que-dispoe-sobre-os-procedimentos-para-contratacoes-destinadas-ao-fornecimento-de-bens-a-prestacao-de-servicos-a-locacao-de-bens-e-a-execucao-de-obras-necessarias-ao-enfrentamento-da-emergencia-em-saude-publica-de-importancia-internacional-decorrente-do-coronavirus-no-ambito-do-poder-executivo-estadual"
"Amapá";"Lei Ordinária Nº 2502 de 1 de maio de 2020";"Altera a Lei nº 2.499, de 01 de abril de 2020 e dá outras providências.";"http://leisestaduais.com.br/ap/lei-ordinaria-n-2502-2020-amapa-altera-a-lei-no-2-499-de-01-de-abril-de-2020-e-da-outras-providencias"
"Rio Grande do Sul";"Decreto Nº 55220 de 30 de abril de 2020";"Altera o Decreto nº 55.154, de 1º de abril de 2020, que reitera a declaração de estado de calamidade pública em todo o território do Estado do Rio Grande do Sul para fins de prevenção e de enfrentamento à epidemia causada pelo COVID-19 (novo Coronavírus), e dá outras providências.";"http://leisestaduais.com.br/rs/decreto-n-55220-2020-rio-grande-do-sul-altera-o-decreto-no-55-154-de-1o-de-abril-de-2020-que-reitera-a-declaracao-de-estado-de-calamidade-publica-em-todo-o-territorio-do-estado-do-rio-grande-do-sul-para-fins-de-prevencao-e-de-enfrentamento-a-epidemia-causada-pelo-covid-19-novo-coronavirus-e-da-outras-providencias"
"Amapá";"Lei Complementar Nº 125 de 30 de abril de 2020";"Prorroga os prazos de encaminhamento da Lei de Diretrizes Orçamentárias - LDO e Lei Orçamentária Anual - LOA, para o exercício de 2020, por conta da pandemia do novo Coronavírus - Covid-19, nos termos do § 3º, do artigo 24 e § 9º, do artigo 165, da Constituição Federal, e dá outras providências.";"http://leisestaduais.com.br/ap/lei-complementar-n-125-2020-amapa-prorroga-os-prazos-de-encaminhamento-da-lei-de-diretrizes-orcamentarias-ldo-e-lei-orcamentaria-anual-loa-para-o-exercicio-de-2020-por-conta-da-pandemia-do-novo-coronavirus-covid-19-nos-termos-do-3o-do-artigo-24-e-9o-do-artigo-165-da-constituicao-federal-e-da-outras-providencias"
"Rio de Janeiro";"Lei Ordinária Nº 8798 de 30 de abril de 2020";"AUTORIZA A ISENÇÃO DAS TARIFAS NO TRANSPORTE INTERMUNICIPAL COLETIVO DE PASSAGEIROS POR ÔNIBUS, E FERROVIÁRIO, METROVIÁRIO E AQUAVIÁRIO PARA OS SERVIDORES PÚBLICOS DA ÁREA DE SAÚDE NO ESTADO DO RIO DE JANEIRO, NA FORMA QUE MENCIONA.";"http://leisestaduais.com.br/rj/lei-ordinaria-n-8798-2020-rio-de-janeiro-autoriza-a-isencao-das-tarifas-no-transporte-intermunicipal-coletivo-de-passageiros-por-onibus-e-ferroviario-metroviario-e-aquaviario-para-os-servidores-publicos-da-area-de-saude-no-estado-do-rio-de-janeiro-na-forma-que-menciona"
"Rio de Janeiro";"Lei Ordinária Nº 8800 de 30 de abril de 2020";"OBRIGA AS EMPRESAS CONCESSIONÁRIAS DE TRANSPORTE PÚBLICO A DISPONIBILIZAR ÁLCOOL GEL NAS ESTAÇÕES E COMPOSIÇÕES PARA CONTENÇÃO DO CORONAVÍRUS (COVID-19), E DÁ OUTRAS PROVIDÊNCIAS.";"http://leisestaduais.com.br/rj/lei-ordinaria-n-8800-2020-rio-de-janeiro-obriga-as-empresas-concessionarias-de-transporte-publico-a-disponibilizar-alcool-gel-nas-estacoes-e-composicoes-para-contencao-do-coronavirus-covid-19-e-da-outras-providencias"
"Ceará";"Decreto Nº 33565 de 30 de abril de 2020";"DISPÕE SOBRE NOVAS CONDIÇÕES DO PARCELAMENTO DE DÉBITOS INSCRITOS EM DÍVIDA ATIVA POR CONTA DOS EFEITOS DA PANDEMIA D O COVID-19 (CORONAVÍRUS), ALTERA O DECRETO Nº 33.291, DE 24 DE SETEMBRO DE 2019, O DECRETO Nº 28.662, DE 8 DE MARÇO DE 2007, E DÁ OUTRAS PROVIDÊNCIAS.";"http://leisestaduais.com.br/ce/decreto-n-33565-2020-ceara-dispoe-sobre-novas-condicoes-do-parcelamento-de-debitos-inscritos-em-divida-ativa-por-conta-dos-efeitos-da-pandemia-d-o-covid-19-coronavirus-altera-o-decreto-no-33-291-de-24-de-setembro-de-2019-o-decreto-no-28-662-de-8-de-marco-de-2007-e-da-outras-providencias"
"Ceará";"Decreto Nº 33563 de 30 de abril de 2020";"REGULAMENTA A LEI Nº 17.206, DE 23 DE ABRIL DE 2020, QUE CRIA O PROGRAMA ESTADUAL DE INCENTIVO ÀS DOAÇÕES PARA A SAÚDE NO ÂMBITO DA POLÍTICA DE ENFRENTAMENTO DA COVID-19, E DÁ OUTRAS PROVIDÊNCIAS.";"http://leisestaduais.com.br/ce/decreto-n-33563-2020-ceara-regulamenta-a-lei-no-17-206-de-23-de-abril-de-2020-que-cria-o-programa-estadual-de-incentivo-as-doacoes-para-a-saude-no-ambito-da-politica-de-enfrentamento-da-covid-19-e-da-outras-providencias"
"Minas Gerais";"Decreto Nº 47939 de 30 de abril de 2020";"Dispõe sobre o MG Investe Garantidor, que estabelece regras especiais como medida econômica de enfretamento à pandemia de COVID-19, causada pelo Coronavírus, e o Fundo de Investimentos do Estado de Minas Gerais - MG Investe.";"http://leisestaduais.com.br/mg/decreto-n-47939-2020-minas-gerais-dispoe-sobre-o-mg-investe-garantidor-que-estabelece-regras-especiais-como-medida-economica-de-enfretamento-a-pandemia-de-covid-19-causada-pelo-coronavirus-e-o-fundo-de-investimentos-do-estado-de-minas-gerais-mg-investe"
"São Paulo";"Lei Ordinária Nº 17263 de 30 de abril de 2020";"Autoriza a transferência à Conta Única do Tesouro Estadual de saldos positivos de fundos especiais de despesa, nos termos que especifica, e dá outras providências";"http://leisestaduais.com.br/sp/lei-ordinaria-n-17263-2020-sao-paulo-autoriza-a-transferencia-a-conta-unica-do-tesouro-estadual-de-saldos-positivos-de-fundos-especiais-de-despesa-nos-termos-que-especifica-e-da-outras-providencias"
"São Paulo";"Decreto Nº 59389 de 30 de abril de 2020";"Autoriza a cessão de uso, precária e gratuita, de espaços e logradouros públicos para a realização, por laboratórios públicos e privados, de exames para Covid-19 por meio de ""drive-thru"".";"http://leisestaduais.com.br/sp/decreto-n-59389-2020-sao-paulo-autoriza-a-cessao-de-uso-precaria-e-gratuita-de-espacos-e-logradouros-publicos-para-a-realizacao-por-laboratorios-publicos-e-privados-de-exames-para-covid-19-por-meio-de-drive-thru"
"Rio de Janeiro";"Lei Ordinária Nº 8797 de 30 de abril de 2020";"AUTORIZA O PODER EXECUTIVO A CRIAR PLANO DE RISCO E RESPOSTA RÁPIDA, PA - RA ATUAR NO MONITORAMENTO DO CORONAVIRUS NOS PROFISSIONAIS DE SAÚDE QUE ATUAM NAS UNIDADES DE SAÚDE DO ESTADO DO RIO DE JANEIRO.";"http://leisestaduais.com.br/rj/lei-ordinaria-n-8797-2020-rio-de-janeiro-autoriza-o-poder-executivo-a-criar-plano-de-risco-e-resposta-rapida-pa-ra-atuar-no-monitoramento-do-coronavirus-nos-profissionais-de-saude-que-atuam-nas-unidades-de-saude-do-estado-do-rio-de-janeiro"
"Mato Grosso";"Decreto Nº 468 de 30 de abril de 2020";"Introduz alterações no Regulamento do ICMS, aprovado pelo Decreto nº 2.212, de 20 de março de 2014, e dá outras providências.";"http://leisestaduais.com.br/mt/decreto-n-468-2020-mato-grosso-introduz-alteracoes-no-regulamento-do-icms-aprovado-pelo-decreto-no-2-212-de-20-de-marco-de-2014-e-da-outras-providencias"
"Minas Gerais";"Lei Ordinária Nº 23637 de 30 de abril de 2020";"Dispõe sobre a isenção do Imposto sobre TransmissãoCausa Mortis e Doação de Quaisquer Bens ou Direitos - ITCD, nos casos que especifica, em razão do estado de calamidade pública decorrente da pandemia de Covid-19.";"http://leisestaduais.com.br/mg/lei-ordinaria-n-23637-2020-minas-gerais-dispoe-sobre-a-isencao-do-imposto-sobre-transmissaocausa-mortis-e-doacao-de-quaisquer-bens-ou-direitos-itcd-nos-casos-que-especifica-em-razao-do-estado-de-calamidade-publica-decorrente-da-pandemia-de-covid-19"
"Santa Catarina";"Decreto Nº 587 de 30 de abril de 2020";"Altera o Decreto nº 562, de 2020, que declara estado de calamidade pública em todo o território catarinense, nos termos do COBRADE nº 1.5.1.1.0 - doenças infecciosas virais, para fins de enfrentamento à COVID-19, e estabelece outras providências.";"http://leisestaduais.com.br/sc/decreto-n-587-2020-santa-catarina-altera-o-decreto-no-562-de-2020-que-declara-estado-de-calamidade-publica-em-todo-o-territorio-catarinense-nos-termos-do-cobrade-no-1-5-1-1-0-doencas-infecciosas-virais-para-fins-de-enfrentamento-a-covid-19-e-estabelece-outras-providencias"
"Amapá";"Lei Ordinária Nº 2501 de 30 de abril de 2020";"Autoriza a regulamentação pelo Chefe do Poder Executivo de auxílio financeiro emergencial em favor dos profissionais em atendimento de saúde que atuarem diretamente no combate à pandemia do COVID-19, enquanto perdurar a situação de calamidade pública e dá outras providências.";"http://leisestaduais.com.br/ap/lei-ordinaria-n-2501-2020-amapa-autoriza-a-regulamentacao-pelo-chefe-do-poder-executivo-de-auxilio-financeiro-emergencial-em-favor-dos-profissionais-em-atendimento-de-saude-que-atuarem-diretamente-no-combate-a-pandemia-do-covid-19-enquanto-perdurar-a-situacao-de-calamidade-publica-e-da-outras-providencias"
"Rio de Janeiro";"Lei Ordinária Nº 8799 de 30 de abril de 2020";"DISPÕE SOBRE A PRESTAÇÃO DO SERVIÇO DE ENTREGA EM DOMICÍLIO DURANTE O PERÍODO DE CALAMIDADE PÚBLICA NO ESTADO DO RIO DE JANEIRO EM DECORRÊNCIA DO NOVO CORONAVÍRUS (COVID-19).";"http://leisestaduais.com.br/rj/lei-ordinaria-n-8799-2020-rio-de-janeiro-dispoe-sobre-a-prestacao-do-servico-de-entrega-em-domicilio-durante-o-periodo-de-calamidade-publica-no-estado-do-rio-de-janeiro-em-decorrencia-do-novo-coronavirus-covid-19"
"Rio de Janeiro";"Decreto Nº 47050 de 29 de abril de 2020";"DISPÕE SOBRE A IDENTIFICAÇÃO DE PACIENTES NÃO IDENTIFICADOS NAS UNIDADES DE SAÚDE E INSTITUI MEDIDAS TRANSITÓRIAS DE PREVENÇÃO AO CONTÁGIO E ENFRENTAMENTO DA COVID-19 NA GESTÃO DOS ÓBITOS OCORRIDOS NO ESTADO DO RIO DE JANEIRO.";"http://leisestaduais.com.br/rj/decreto-n-47050-2020-rio-de-janeiro-dispoe-sobre-a-identificacao-de-pacientes-nao-identificados-nas-unidades-de-saude-e-institui-medidas-transitorias-de-prevencao-ao-contagio-e-enfrentamento-da-covid-19-na-gestao-dos-obitos-ocorridos-no-estado-do-rio-de-janeiro"
