"estado";"lei";"desc";"link";"lei_ord";"ata";"decreto";"medida";"oficio";"portaria";"resolucao";"data";"coduf";"UF"
"Rio de Janeiro";"Lei Ordinária Nº 8881 de 5 de junho de 2020";"REGULA A PRÁTICA DE CREMAÇÃO DE CADÁVERES E INCINERAÇÃO DE RESTOS MORTAIS NO ESTADO DO RIO DE JANEIRO DURANTE A CRISE INSTAURADA PELA PANDEMIA RELATIVA AO CORONA VÍRUS (COVID-19) E DÁ OUTRAS PROVIDÊNCIAS.";"http://leisestaduais.com.br/rj/lei-ordinaria-n-8881-2020-rio-de-janeiro-regula-a-pratica-de-cremacao-de-cadaveres-e-incineracao-de-restos-mortais-no-estado-do-rio-de-janeiro-durante-a-crise-instaurada-pela-pandemia-relativa-ao-corona-virus-covid-19-e-da-outras-providencias";1;0;0;0;0;0;0;2020-06-05;33;"RJ"
"Santa Catarina";"Decreto Nº 651 de 5 de junho de 2020";"Altera o Decreto nº 630, que altera o Decreto nº 562, de 2020, que declara estado de calamidade pública em todo o território catarinense, nos termos do COBRADE nº 1.5.1.1.0 - doenças infecciosas virais, para fins de enfrentamento à COVID-19, e estabelece outras providências.";"http://leisestaduais.com.br/sc/decreto-n-651-2020-santa-catarina-altera-o-decreto-no-630-que-altera-o-decreto-no-562-de-2020-que-declara-estado-de-calamidade-publica-em-todo-o-territorio-catarinense-nos-termos-do-cobrade-no-1-5-1-1-0-doencas-infecciosas-virais-para-fins-de-enfrentamento-a-covid-19-e-estabelece-outras-providencias";0;0;1;0;0;0;0;2020-06-05;42;"SC"
"Rio de Janeiro";"Decreto Nº 47110 de 5 de junho de 2020";"CRIA O PROGRAMA ESTADUAL ""RIO DE JANEIRO - TURISMO CONSCIENTE"", INSTITUI O SELO ""RIO DE JANEIRO - TURISMO CONSCIENTE"", E DÁ OUTRAS PROVIDÊNCIAS.";"http://leisestaduais.com.br/rj/decreto-n-47110-2020-rio-de-janeiro-cria-o-programa-estadual-rio-de-janeiro-turismo-consciente-institui-o-selo-rio-de-janeiro-turismo-consciente-e-da-outras-providencias";0;0;1;0;0;0;0;2020-06-05;33;"RJ"
"Rio de Janeiro";"Decreto Nº 47112 de 5 de junho de 2020";"DISPÕE SOBRE AS MEDIDAS DE ENFRENTAMENTO DA PROPAGAÇÃO DO NOVO CORONAVÍRUS (COVID-19), EM DECORRÊNCIA DA SITUAÇÃO DE EMERGÊNCIA EM SAÚDE, E DÁ OUTRAS PROVIDÊNCIAS.";"http://leisestaduais.com.br/rj/decreto-n-47112-2020-rio-de-janeiro-dispoe-sobre-as-medidas-de-enfrentamento-da-propagacao-do-novo-coronavirus-covid-19-em-decorrencia-da-situacao-de-emergencia-em-saude-e-da-outras-providencias";0;0;1;0;0;0;0;2020-06-05;33;"RJ"
"Rio de Janeiro";"Lei Ordinária Nº 8885 de 5 de junho de 2020";"DISPÕE SOBRE MEDIDAS DE GESTÃO ADMINISTRATIVA E FINANCEIRA PARA CONTROLE DE GASTOS E OTIMIZAÇÃO DE RECURSOS PÚBLICOS, EM DECORRÊNCIA DA PANDEMIA DO CORONAVÍRUS - COVID-19, NA FORMA QUE MENCIONA.";"http://leisestaduais.com.br/rj/lei-ordinaria-n-8885-2020-rio-de-janeiro-dispoe-sobre-medidas-de-gestao-administrativa-e-financeira-para-controle-de-gastos-e-otimizacao-de-recursos-publicos-em-decorrencia-da-pandemia-do-coronavirus-covid-19-na-forma-que-menciona";1;0;0;0;0;0;0;2020-06-05;33;"RJ"
"Rio de Janeiro";"Lei Ordinária Nº 8880 de 5 de junho de 2020";"DETERMINA A DISPONIBILIZAÇÃO GRATUITA PELAS OPERADORAS DE TELEFONIA E INTERNET MÓVEL DOS ACESSOS A SITES DE COMUNICAÇÃO, REDES SOCIAIS E STREAMING, SEM QUALQUER CONTABILIZAÇÃO DO PACOTE DE DADOS DOS CLIENTES E DISPÕE SOBRE A SUSPENSÃO DOS SERVIÇOS DE TELEFONIA E INTERNET POR INADIMPLÊNCIA, DURANTE O PERÍODO DE APLICAÇÃO DAS MEDIDAS REFERENTES À CONTENÇÃO DO VÍRUS COVID-19.";"http://leisestaduais.com.br/rj/lei-ordinaria-n-8880-2020-rio-de-janeiro-determina-a-disponibilizacao-gratuita-pelas-operadoras-de-telefonia-e-internet-movel-dos-acessos-a-sites-de-comunicacao-redes-sociais-e-streaming-sem-qualquer-contabilizacao-do-pacote-de-dados-dos-clientes-e-dispoe-sobre-a-suspensao-dos-servicos-de-telefonia-e-internet-por-inadimplencia-durante-o-periodo-de-aplicacao-das-medidas-referentes-a-contencao-do-virus-covid-19";1;0;0;0;0;0;0;2020-06-05;33;"RJ"
"Rio Grande do Sul";"Decreto Nº 55292 de 4 de junho de 2020";"Estabelece as normas aplicáveis às instituições e estabelecimentos de ensino situados no território";"http://leisestaduais.com.br/rs/decreto-n-55292-2020-rio-grande-do-sul-estabelece-as-normas-aplicaveis-as-instituicoes-e-estabelecimentos-de-ensino-situados-no-territorio";0;0;1;0;0;0;0;2020-06-04;43;"RS"
"Minas Gerais";"Lei Ordinária Nº 23651 de 4 de junho de 2020";"Acrescenta o inciso VII ao art. 14 da Lei nº 23.631, de 2 de abril de 2020, que dispõe sobre a adoção de medidas para o enfrentamento do estado de calamidade pública decorrente da pandemia de Covid-19, causada por coronavírus.";"http://leisestaduais.com.br/mg/lei-ordinaria-n-23651-2020-minas-gerais-acrescenta-o-inciso-vii-ao-art-14-da-lei-no-23-631-de-2-de-abril-de-2020-que-dispoe-sobre-a-adocao-de-medidas-para-o-enfrentamento-do-estado-de-calamidade-publica-decorrente-da-pandemia-de-covid-19-causada-por-coronavirus";1;0;0;0;0;0;0;2020-06-04;31;"MG"
"Rio de Janeiro";"Lei Ordinária Nº 8869 de 4 de junho de 2020";"AUTORIZA O PODER EXECUTIVO A REALIZAR CONVÊNIOS COM AS PREFEITURAS DO ESTADO DO RIO DE JANEIRO PARA EXECUÇÃO DA ATIVIDADE DE REMOÇÃO DE CADÁVERES EM RESIDÊNCIAS PARTICULARES PELO SERVIÇO DE ATENDIMENTO MÓVEL DE URGÊNCIA - SAMU, ENQUANTO PERDURAR O ESTADO DE CALAMIDADE PÚBLICA, ESTABELECIDO PELO DECRETO Nº 46.973, DE 16 DE MARÇO DE 2020 E RECONHECIDO PELA LEI Nº 8.794, DE 17 DE ABRIL DE 2020.";"http://leisestaduais.com.br/rj/lei-ordinaria-n-8869-2020-rio-de-janeiro-autoriza-o-poder-executivo-a-realizar-convenios-com-as-prefeituras-do-estado-do-rio-de-janeiro-para-execucao-da-atividade-de-remocao-de-cadaveres-em-residencias-particulares-pelo-servico-de-atendimento-movel-de-urgencia-samu-enquanto-perdurar-o-estado-de-calamidade-publica-estabelecido-pelo-decreto-no-46-973-de-16-de-marco-de-2020-e-reconhecido-pela-lei-no-8-794-de-17-de-abril-de-2020";1;0;0;0;0;0;0;2020-06-04;33;"RJ"
"Rio de Janeiro";"Lei Ordinária Nº 8868 de 4 de junho de 2020";"ESTABELECE A NOTIFICAÇÃO COMPULSÓRIA DOS CASOS DE COVID-19 NO ESTADO DO RIO DE JANEIRO.";"http://leisestaduais.com.br/rj/lei-ordinaria-n-8868-2020-rio-de-janeiro-estabelece-a-notificacao-compulsoria-dos-casos-de-covid-19-no-estado-do-rio-de-janeiro";1;0;0;0;0;0;0;2020-06-04;33;"RJ"
"Minas Gerais";"Lei Ordinária Nº 23652 de 4 de junho de 2020";"Dispõe sobre a utilização dos recursos do Fundo para a Infância e a Adolescência - FIA - enquanto perdurar o estado de calamidade pública decorrente da pandemia de Covid-19.";"http://leisestaduais.com.br/mg/lei-ordinaria-n-23652-2020-minas-gerais-dispoe-sobre-a-utilizacao-dos-recursos-do-fundo-para-a-infancia-e-a-adolescencia-fia-enquanto-perdurar-o-estado-de-calamidade-publica-decorrente-da-pandemia-de-covid-19";1;0;0;0;0;0;0;2020-06-04;31;"MG"
"Rio de Janeiro";"Lei Ordinária Nº 8871 de 4 de junho de 2020";"AUTORIZA O PODER EXECUTIVO A FORNECER REFEIÇÕES PARA A POPULAÇÃO EM SITUAÇÃO DE RUA E DE VULNERABILIDADE SOCIAL ATÉ A ABERTURA DOS RESTAURANTES POPULARES, TENDO EM VISTA O RECONHECIMENTO DE EMERGÊNCIA NA SAÚDE PÚBLICA EM RAZÃO DA PANDEMIA DO NOVO CORONAVÍRUS (COVID-19).";"http://leisestaduais.com.br/rj/lei-ordinaria-n-8871-2020-rio-de-janeiro-autoriza-o-poder-executivo-a-fornecer-refeicoes-para-a-populacao-em-situacao-de-rua-e-de-vulnerabilidade-social-ate-a-abertura-dos-restaurantes-populares-tendo-em-vista-o-reconhecimento-de-emergencia-na-saude-publica-em-razao-da-pandemia-do-novo-coronavirus-covid-19";1;0;0;0;0;0;0;2020-06-04;33;"RJ"
"Rio de Janeiro";"Lei Ordinária Nº 8857 de 3 de junho de 2020";"DISPÕE SOBRE A PRIORIZAÇÃO DOS SERVIDORES DAS ÁREAS DE SAÚDE, SEGURANÇA E ASSISTÊNCIA SOCIAL NA REDE PÚBLICA E PRIVADA POR OCASIÃO DA REGULAÇÃO DOS LEITOS DE INTERNAÇÃO E NA REALIZAÇÃO DE TESTES PARA DETECTAR A PRESENÇA DO COVID-19, NO ÂMBITO DO ESTADO DO RIO DE JANEIRO E DA OUTRAS PROVIDÊNCIAS.";"http://leisestaduais.com.br/rj/lei-ordinaria-n-8857-2020-rio-de-janeiro-dispoe-sobre-a-priorizacao-dos-servidores-das-areas-de-saude-seguranca-e-assistencia-social-na-rede-publica-e-privada-por-ocasiao-da-regulacao-dos-leitos-de-internacao-e-na-realizacao-de-testes-para-detectar-a-presenca-do-covid-19-no-ambito-do-estado-do-rio-de-janeiro-e-da-outras-providencias";1;0;0;0;0;0;0;2020-06-03;33;"RJ"
"Rio de Janeiro";"Lei Ordinária Nº 8859 de 3 de junho de 2020";"ESTABELECE A OBRIGATORIEDADE DO USO DE MÁSCARAS RESPIRATÓRIAS, NO ÂMBITO DO ESTADO DO RIO DE JANEIRO, ENQUANTO VIGORAR O ESTADO DE CALAMIDADE PÚBLICA EM VIRTUDE DA PANDEMIA DO NOVO CORONAVÍRUS (COVID-19).";"http://leisestaduais.com.br/rj/lei-ordinaria-n-8859-2020-rio-de-janeiro-estabelece-a-obrigatoriedade-do-uso-de-mascaras-respiratorias-no-ambito-do-estado-do-rio-de-janeiro-enquanto-vigorar-o-estado-de-calamidade-publica-em-virtude-da-pandemia-do-novo-coronavirus-covid-19";1;0;0;0;0;0;0;2020-06-03;33;"RJ"
"Rio de Janeiro";"Lei Ordinária Nº 8865 de 3 de junho de 2020";"ALTERA A LEI ESTADUAL Nº 5.260, DE 11 DE JUNHO DE 2008, QUE ""ESTABELECE O REGIME JURÍDICO PRÓPRIO E ÚNICO DA PREVIDÊNCIA SOCIAL DOS MEMBROS DO PODER JUDICIÁRIO, DO MINISTÉRIO PÚBLICO, DA DEFENSORIA PÚBLICA, DO TRIBUNAL DE CONTAS E DOS SERVIDORES PÚBLICOS ESTATUTÁRIOS DO ESTADO DO RIO DE JANEIRO"" E DÁ OUTRAS PROVIDÊNCIAS.";"http://leisestaduais.com.br/rj/lei-ordinaria-n-8865-2020-rio-de-janeiro-altera-a-lei-estadual-no-5-260-de-11-de-junho-de-2008-que-estabelece-o-regime-juridico-proprio-e-unico-da-previdencia-social-dos-membros-do-poder-judiciario-do-ministerio-publico-da-defensoria-publica-do-tribunal-de-contas-e-dos-servidores-publicos-estatutarios-do-estado-do-rio-de-janeiro-e-da-outras-providencias";1;0;0;0;0;0;0;2020-06-03;33;"RJ"
"Rio de Janeiro";"Lei Ordinária Nº 8860 de 3 de junho de 2020";"DISPÕE SOBRE A CRIAÇÃO DA CENTRAL DE INFORMAÇÕES SOBRE PACIENTES INTERNADOS NA REDE ESTADUAL DE SAÚDE DURANTE A PANDEMIA DO NOVO CORONAVÍRUS - COVID-19 - E DÁ OUTRAS PROVIDÊNCIAS.";"http://leisestaduais.com.br/rj/lei-ordinaria-n-8860-2020-rio-de-janeiro-dispoe-sobre-a-criacao-da-central-de-informacoes-sobre-pacientes-internados-na-rede-estadual-de-saude-durante-a-pandemia-do-novo-coronavirus-covid-19-e-da-outras-providencias";1;0;0;0;0;0;0;2020-06-03;33;"RJ"
"Rio de Janeiro";"Lei Ordinária Nº 8862 de 3 de junho de 2020";"DISPÕE SOBRE A CONTRATAÇÃO EMERGENCIAL TEMPORÁRIA DE PSIQUIATRAS, PSICÓLOGOS, ASSISTENTES SOCIAIS E TERAPEUTAS OCUPACIONAIS, NA ESTRUTURA DA SECRETARIA DE ESTADO DE SAÚDE, PARA OFERECER ATENDIMENTO ÀS VÍTIMAS DE DEPRESSÃO E TENDÊNCIAS SUICIDAS EM DECORRÊNCIA DA COVID-19.";"http://leisestaduais.com.br/rj/lei-ordinaria-n-8862-2020-rio-de-janeiro-dispoe-sobre-a-contratacao-emergencial-temporaria-de-psiquiatras-psicologos-assistentes-sociais-e-terapeutas-ocupacionais-na-estrutura-da-secretaria-de-estado-de-saude-para-oferecer-atendimento-as-vitimas-de-depressao-e-tendencias-suicidas-em-decorrencia-da-covid-19";1;0;0;0;0;0;0;2020-06-03;33;"RJ"
"Minas Gerais";"Lei Ordinária Nº 23648 de 3 de junho de 2020";"Define cronograma com novos prazos para a prática dos atos necessários à execução das programações orçamentárias incluídas por emendas parlamentares individuais, de blocos e de bancadas de execução obrigatória e cujos prazos foram suspensos em decorrência da pandemia de Covid-19, causada pelo coronavírus, e dá outras providências.";"http://leisestaduais.com.br/mg/lei-ordinaria-n-23648-2020-minas-gerais-define-cronograma-com-novos-prazos-para-a-pratica-dos-atos-necessarios-a-execucao-das-programacoes-orcamentarias-incluidas-por-emendas-parlamentares-individuais-de-blocos-e-de-bancadas-de-execucao-obrigatoria-e-cujos-prazos-foram-suspensos-em-decorrencia-da-pandemia-de-covid-19-causada-pelo-coronavirus-e-da-outras-providencias";1;0;0;0;0;0;0;2020-06-03;31;"MG"
"Rio de Janeiro";"Lei Ordinária Nº 8863 de 3 de junho de 2020";"AUTORIZA A UTILIZAÇÃO DE RECURSOS DO FUNDO ESTADUAL DE CULTURA PARA OS FINS QUE ESPECIFICA.";"http://leisestaduais.com.br/rj/lei-ordinaria-n-8863-2020-rio-de-janeiro-autoriza-a-utilizacao-de-recursos-do-fundo-estadual-de-cultura-para-os-fins-que-especifica";1;0;0;0;0;0;0;2020-06-03;33;"RJ"
"Pernambuco";"Lei Ordinária Nº 16899 de 3 de junho de 2020";"Dispõe, no âmbito do Estado de Pernambuco, sobre o cancelamento ou remarcação de passagens aéreas e pacotes de viagens em razão da pandemia do coronavírus (Covid-19), e dá outras providências.";"http://leisestaduais.com.br/pe/lei-ordinaria-n-16899-2020-pernambuco-dispoe-no-ambito-do-estado-de-pernambuco-sobre-o-cancelamento-ou-remarcacao-de-passagens-aereas-e-pacotes-de-viagens-em-razao-da-pandemia-do-coronavirus-covid-19-e-da-outras-providencias";1;0;0;0;0;0;0;2020-06-03;26;"PE"
"Ceará";"Lei Ordinária Nº 17221 de 3 de junho de 2020";"PRORROGA O PRAZO PREVISTO NO § 2.º DO ART. 3.º DA LEI Nº 16.880, DE";"http://leisestaduais.com.br/ce/lei-ordinaria-n-17221-2020-ceara-prorroga-o-prazo-previsto-no-2-o-do-art-3-o-da-lei-no-16-880-de";1;0;0;0;0;0;0;2020-06-03;23;"CE"
"Ceará";"Lei Ordinária Nº 17220 de 3 de junho de 2020";"AUTORIZA O PODER EXECUTIVO A SUSPENDER, EM RAZÃO DO ESTADO DE";"http://leisestaduais.com.br/ce/lei-ordinaria-n-17220-2020-ceara-autoriza-o-poder-executivo-a-suspender-em-razao-do-estado-de";1;0;0;0;0;0;0;2020-06-03;23;"CE"
"Pernambuco";"Lei Ordinária Nº 16903 de 3 de junho de 2020";"Assegura o atendimento prioritário de idosos e demais pessoas consideradas grupo de risco do Covid-19 pelas instituições financeiras, no âmbito do Estado de Pernambuco.";"http://leisestaduais.com.br/pe/lei-ordinaria-n-16903-2020-pernambuco-assegura-o-atendimento-prioritario-de-idosos-e-demais-pessoas-consideradas-grupo-de-risco-do-covid-19-pelas-instituicoes-financeiras-no-ambito-do-estado-de-pernambuco";1;0;0;0;0;0;0;2020-06-03;26;"PE"
"Pernambuco";"Lei Ordinária Nº 16901 de 3 de junho de 2020";"Suspende os prazos de garantia, troca, devolução ou reembolso decorrentes da aquisição de produtos ou serviços, no âmbito do Estado de Pernambuco, pelo período em que perdurar a situação anormal caracterizada como ""Estado de Calamidade Pública"" para fins de prevenção e de enfrentamento ao Coronavírus (SARS-CoV2), causador da COVID-19, respeitadas as disposições constantes em normas da União sobre a matéria.";"http://leisestaduais.com.br/pe/lei-ordinaria-n-16901-2020-pernambuco-suspende-os-prazos-de-garantia-troca-devolucao-ou-reembolso-decorrentes-da-aquisicao-de-produtos-ou-servicos-no-ambito-do-estado-de-pernambuco-pelo-periodo-em-que-perdurar-a-situacao-anormal-caracterizada-como-estado-de-calamidade-publica-para-fins-de-prevencao-e-de-enfrentamento-ao-coronavirus-sars-cov2-causador-da-covid-19-respeitadas-as-disposicoes-constantes-em-normas-da-uniao-sobre-a-materia";1;0;0;0;0;0;0;2020-06-03;26;"PE"
"Santa Catarina";"Decreto Nº 630 de 1 de junho de 2020";"Altera o Decreto nº 562, de 2020, que declara estado de calamidade pública em todo o território catarinense, nos termos do COBRADE nº 1.5.1.1.0 - doenças infecciosas virais, para fins de enfrentamento à COVID-19, e estabelece outras providências.";"http://leisestaduais.com.br/sc/decreto-n-630-2020-santa-catarina-altera-o-decreto-no-562-de-2020-que-declara-estado-de-calamidade-publica-em-todo-o-territorio-catarinense-nos-termos-do-cobrade-no-1-5-1-1-0-doencas-infecciosas-virais-para-fins-de-enfrentamento-a-covid-19-e-estabelece-outras-providencias";0;0;1;0;0;0;0;2020-06-01;42;"SC"
"Rio Grande do Sul";"Decreto Nº 55284 de 31 de maio de 2020";"Determina a aplicação das medidas sanitárias segmentadas de que trata o art. 19 do Decreto nº 55.240, de 10 de maio de 2020, que institui o Sistema de Distanciamento Controlado para fins de prevenção e de enfrentamento à epidemia causada pelo novo Coronavírus (COVID-19) no âmbito do Estado do Rio Grande do Sul, reitera a declaração de estado de calamidade pública em todo o território estadual.";"http://leisestaduais.com.br/rs/decreto-n-55284-2020-rio-grande-do-sul-determina-a-aplicacao-das-medidas-sanitarias-segmentadas-de-que-trata-o-art-19-do-decreto-no-55-240-de-10-de-maio-de-2020-que-institui-o-sistema-de-distanciamento-controlado-para-fins-de-prevencao-e-de-enfrentamento-a-epidemia-causada-pelo-novo-coronavirus-covid-19-no-ambito-do-estado-do-rio-grande-do-sul-reitera-a-declaracao-de-estado-de-calamidade-publica-em-todo-o-territorio-estadual";0;0;1;0;0;0;0;2020-05-31;43;"RS"
"Rio Grande do Sul";"Decreto Nº 55285 de 31 de maio de 2020";"Altera o Decreto nº 55.240, de 10 de maio de 2020, que institui o Sistema de Distanciamento Controlado para fins de prevenção e de enfrentamento à epidemia causada pelo novo Coronavírus (COVID-19) no âmbito do Estado do Rio Grande do Sul, reitera a declaração de estado de calamidade pública em todo o território estadual e dá outras providências.";"http://leisestaduais.com.br/rs/decreto-n-55285-2020-rio-grande-do-sul-altera-o-decreto-no-55-240-de-10-de-maio-de-2020-que-institui-o-sistema-de-distanciamento-controlado-para-fins-de-prevencao-e-de-enfrentamento-a-epidemia-causada-pelo-novo-coronavirus-covid-19-no-ambito-do-estado-do-rio-grande-do-sul-reitera-a-declaracao-de-estado-de-calamidade-publica-em-todo-o-territorio-estadual-e-da-outras-providencias";0;0;1;0;0;0;0;2020-05-31;43;"RS"
"Paraíba";"Decreto Nº 40288 de 30 de maio de 2020";"Dispõe sobre a adoção, no âmbito da Administração Pública direta e indireta, de medidas temporárias e emergenciais de prevenção de contágio pela COVID-19 (Novo Coronavírus), bem como sobre recomendações aos municípios e ao setor privado estadual.";"http://leisestaduais.com.br/pb/decreto-n-40288-2020-paraiba-dispoe-sobre-a-adocao-no-ambito-da-administracao-publica-direta-e-indireta-de-medidas-temporarias-e-emergenciais-de-prevencao-de-contagio-pela-covid-19-novo-coronavirus-bem-como-sobre-recomendacoes-aos-municipios-e-ao-setor-privado-estadual";0;0;1;0;0;0;0;2020-05-30;25;"PB"
"Rio de Janeiro";"Lei Ordinária Nº 8856 de 29 de maio de 2020";"DISPÕE SOBRE O REFORÇO ÀS INFORMAÇÕES SOBRE AS MEDIDAS DE PROTEÇÃO PARA MULHERES EM SITUAÇÃO DE RISCO DE VIOLÊNCIA DOMÉSTICA, DURANTE O PERÍODO DE CALAMIDADE PÚBLICA EM RAZÃO DA PANDEMIA DE COVID-19 NO ÂMBITO DO ESTADO DO RIO DE JANEIRO.";"http://leisestaduais.com.br/rj/lei-ordinaria-n-8856-2020-rio-de-janeiro-dispoe-sobre-o-reforco-as-informacoes-sobre-as-medidas-de-protecao-para-mulheres-em-situacao-de-risco-de-violencia-domestica-durante-o-periodo-de-calamidade-publica-em-razao-da-pandemia-de-covid-19-no-ambito-do-estado-do-rio-de-janeiro";1;0;0;0;0;0;0;2020-05-29;33;"RJ"
